X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-90.933333333,29.9833333330001,13,8893,8650,ST. JAMES,US,29.983333,-90.933333,29,59,N,90,56,W,CP05,11352,S,RN,F, , , ,Y, , , , ,J,0,M, , , , ,Y,Y,Y,Y, , , , ,Y, ,Y, , , ,Y,Y,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , 
158.65,53.0500000000001,14,62600,62530,PETROPAVLOVSK,RU,53.05,158.65,53,3,N,158,39,E,155,96500,V,CN,G,Y,Y, ,Y,Y,J,C,K, ,5,M, , ,Y, ,Y, ,Y, , , , , , ,Y, , ,Y, , ,Y,Y, , ,Y, ,Y,Y, ,N,Y,Y,Y, ,Y,Y,Y, , , ,Y,Y,Y,Y,Y, ,Y,Y,A,M, 
165.983333333,55.2,15,62630,62530,NIKOL SKOYE,RU,55.2,165.983333,55,12,N,165,59,E,155,96740,V,CN,P, , ,Y, , ,H,J, , ,4, , , , , , , , , , , , , , , , , ,Y, , , , ,Y, , , ,Y, , , , , , , , , , , , , , , ,Y,Y, , , , ,D, , 
-173.233333333,64.4166666670001,16,62640,62530,PROVIDENIYA,RU,64.416667,-173.233333,64,25,N,173,14,W,155,96645,V,CN,G,N,N,Y,Y,N,A,A,K,L,2, , , , , ,Y,Y,Y, ,Y, ,Y, , , ,Y,Y,Y,Y,Y,N,Y, ,Y, , , , , ,Y,Y,Y, , , ,Y,Y,Y, , , , ,Y,Y,Y,Y, , ,C, , 
162.316666667,69.6333333330001,17,62660,62530,AMBARCHIK,RU,69.633333,162.316667,69,38,N,162,19,E,183,41100,V,CN,F, , ,Y, , ,O,L,P, ,0, ,Y, , , , ,Y, , , , , , , , , , , , , ,Y,Y,Y, , , ,Y, , , , , , , , , , , , , , , ,Y,Y,Y, , , ,B, , 
128.866666667,71.6333333330001,18,62670,62530,TIKSI,RU,71.633333,128.866667,71,38,N,128,52,E,183,800,S,CN,F, , ,Y, , ,M,M,M,P,1, , , , , , ,Y, , , , , , , , , , ,Y, ,Y, ,Y,Y, , , ,Y, , , ,Y,Y,Y, , ,Y,Y, , , , , , ,Y,Y, , , ,C, , 
170.3,69.7166666670001,19,62680,62530,PEVEK,RU,69.716667,170.3,69,43,N,170,18,E,183,41060,V,CN,G, , , ,Y, ,K,J,N,N,0,L, ,Y, , , , , , , , , , , , , ,Y, , ,Y, ,Y,Y,Y, , ,Y, , , , ,Y, , , ,Y,Y, , , , , , ,Y,Y, , , ,C, , 
80.516666667,73.5000000000001,20,62695,62530,PORT DIKSON,RU,73.5,80.516667,73,30,N,80,31,E,183,42141,V,CN,G, , ,Y, ,N,J,M,J,N,1,M, , , , ,Y,N,N,N, , , ,Y, ,Y,N,N,Y,Y,Y,N,Y,Y, , , ,Y,Y, ,Y,Y,Y, , , , ,Y, , , , , ,Y,Y,Y, , , ,C, , 
84.4333333330001,69.6666666670001,21,62710,62530,UST-PORT,RU,69.666667,84.433333,69,40,N,84,26,E,183,800,V,RN,G, , ,Y, , ,L,K,L, ,0, , , , , , ,Y, , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , ,D, , 
86.1666666670001,69.4,22,62720,62530,DUDINKA,RU,69.4,86.166667,69,24,N,86,10,E,183,800,M,RN,G, , ,Y,Y, ,M,L,M,P,0,M, , , , , ,Y, , ,Y, , , , , ,Y, , ,Y,Y,Y,Y,Y, , , ,Y, , , , ,Y,Y, , ,Y,Y, , , , , , , ,Y, , , ,C, , 
